id,gamename,secretkey,description,queryport,backendflags,disabledservices,keylist,keytypelist
1583,springwidgetsam,tQfwTW,Spring Widgets Automatch,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1584,lotrbfme2,PvzwZF,The Rise of The Witch-king,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1585,wmarkofchaos,nGmBcN,Warhammer Mark of Chaos,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1586,warmonger,I1WnEQ,Warmonger,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1587,everquest2,vPmJGO,EverQuest II,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1588,startreklegacy,jMaWnz,Star Trek: Legacy,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1589,freessbalpha,qXtSmt,Freestyle Street Basketball Client Alpha,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1590,lozphourds,t8RsDb,The Legend of Zelda: Phantom Hourglass (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1591,vanguardbeta,TorchQ,Vanguard beta,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1592,digisunmoonds,6DPXX9,Digimon Story Sunburst/Moonlight (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1593,wmarkofchaosd,nGmBcN,Warhammer Mark of Chaos Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1594,cruciformam,TgsP47,Genesis Rising: The Universal Crusade Automatch,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1595,tcghostreconaw,wLCSvJ,tcghostreconaw,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1596,ghostraw,Cybhqm,Ghost Recon Advanced Warfighter,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1597,rainbowsixv,GUePbj,Rainbow Six Vegas,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1598,wmarkofchaosdam,nGmBcN,Warhammer Mark of Chaos Demo Automatch,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1599,crysisb,ZvZDcL,Crysis Beta,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1600,scotttest,RPzJL7,Scott's test gamename,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1601,rftbomb,xpoRNK,Rush for the Bomb,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1602,motogp2007,oXCZxz,MotoGP 2007,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1603,motogp2007am,oXCZxz,MotoGP 2007 Automatch,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1604,cityofheroes,tJnRie,City of Heroes,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1605,cityofvl,LEJaXZ,City of Villains,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1606,titanquestit,orNtwo,Titan Quest Immortal Throne,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1607,girlsds,hKe82J,Girls (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1608,mariokartkods,Uu2GJ4,Mario Kart DS (DS) (KOR),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1609,mmessagesds,5wFQve,Mixed Messages (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1610,topanglerwii,2SbZew,Top Angler (Wii),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1611,swbfffpsp,fytErP,Star Wars Battlefront: Renegade Squadron (PSP),6500,128,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1612,facesow,qgiNRG,Faces of War,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1615,dexplorerds,8mqApN,Dungeon Explorer (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1616,civconps3,hn53vx,Civilization Revolution (PS3),6500,0,0,,
1617,civconps3am,,Civ Console  Automatch (PS3),6500,0,0,,
1618,civconps3d,hn53vx,Civilization Revolution Demo (PS3),6500,0,0,\\climate\\country\\gamemode\\gametype\\gamever\\hostname\\hostpid\\mapname\\mapsize\\maxplayers\\numplayers\\password\\ranked\\scenario\\skill\\turntime,\\0\\0\\0\\0\\0\\0\\0\\0\\0\\1\\1\\0\\0\\0\\0\\0
1620,stalkerscb,t9Fj3M,STALKER: Shadows of Chernobyl Beta (Unused),6500,128,0,,
1622,secondlife,wpIwVb,Second Life,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1623,tdubeta,VsReXT,Test Drive Unlimited Beta,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1624,elevenkords,qiM82O,World Soccer Winning Eleven DS (KOR) (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1625,bsmidway,fLtUIc,Battlestations Midway Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1626,etforces,GKPQiB,Eternal Forces,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1627,genesisrbeta,tZRxNP,Genesis Rising Beta,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1628,tankbeatusds,8UdAVm,Tank Beat (US) (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1629,champgamesps3,dwg55x,High Stakes on the Vegas Strip: Poker Edition (PS3),6500,0,0,,
1631,eearth3b,Fk6hTz,Empire Earth III Beta,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1632,eearth3am,,Empire Earth III  Automatch,6500,0,0,,
1633,chocmbeuds,O8r2ST,Chocobo & Magic Book (EU) (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1634,supcommdemo,plfinb,Supreme Commander Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1635,tetriskords,KrMqE6,Tetris DS (KOR) (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1636,jissenpachwii,5tc98w,Jissen Pachinko Slot (Wii),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1637,wincircleds,2ckCbe,Winner's Circle (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1638,itadakistds,5AesfG,Itadaki Street DS (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1639,smrailroadsjp,h32mq8,Sid Meier's Railroads! Japan,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\hostport\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\0\\1\\1\\0
1640,smrailroadsjpam,h32mq8,Sid Meier's Railroads! Japan Automatch,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\hostport\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\0\\1\\1\\0
1641,megamansfds,r2zQPw,Mega Man Star Force (US) (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1642,facesofwarxp1,QQxWKm,Faces of War Standalone (XP1),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1643,facesofwarxp1am,,Faces of War Standalone  Automatch (XP1),6500,0,0,,
1644,timeshiftx,rHKFnV,TimeShift (Xbox 360),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1645,timeshiftps3,rHKFnV,TimeShift (PS3),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1646,powerpinconds,za0kET,Powershot Pinball Constructor (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1647,kingbeetlesds,9mTZtW,The King of Beetles Mushiking Super Collection (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1648,dragonbzwii,oHk248,Dragonball Z (Wii),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1649,atlas_samples,Zc0eM6,ATLAS Sample Apps,52685,128,0,,
1650,cc3tibwarsd,yGVzUf,Command & Conquer 3 Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1651,supcomm,UMEjry,Supreme Commander,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1652,assaultheroes,WpA5Tx,Assault Heroes,6500,0,0,\\CheckPoint\\Difficulty\\HostPlayer\\Level\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\1\\1\\0
1653,assaultheroesam,WpA5Tx,Assault Heroes Automatch,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1654,pokedungeonds,SVbm3x,Pokemon Fushigi no Dungeon (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1655,PowaPPocketds,Mz5dau,PowaProkun Pocket10 (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1656,GunMahjongZds,XL3iSh,Kidou Gekidan Haro Ichiza Gundam Mah-jong+Z (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1657,fullmatcgds,fGRd5f,Fullmetal Alchemist Trading Card Game (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1658,smashbrosxwii,3AxIg4,Dairantou Smash Brothers X (Wii),6500,0,0,,
1659,disfriendsds,VNTp6E,Disney Friends DS (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1660,Jyotrainwii,bRtr3p,Minna de Jyoshiki Training Wii (Wii),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1661,roguewarpc,ey8w3N,Rogue Warrior (PC),6500,0,0,\\country\\dedicatedserver\\friendlyfire\\gamemode\\gametype\\gamever\\hostname\\hostport\\mapname\\maxplayers\\nonce\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\0\\0\\0\\1\\0\\1\\0
1662,roguewarpcam,,Rogue Warrior  Automatch (PC),6500,0,0,,
1663,roguewarpcd,,Rogue Warrior  Demo (PC),6500,0,0,,
1664,roguewarps3,bHtwt6,Rogue Warrior (PS3),6500,0,0,\\country\\dedicatedserver\\friendlyfire\\gamemode\\gametype\\gamever\\hostname\\hostport\\mapname\\maxplayers\\nonce\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\0\\0\\0\\1\\0\\1\\0
1665,roguewarps3am,,Rogue Warrior  Automatch (PS3),6500,0,0,,
1666,roguewarps3d,,Rogue Warrior  Demo (PS3),6500,0,0,,
1667,archlord,eLiRAC,Archlord,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1668,racedriverds,AJQu6F,Race Driver (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1669,kaihatsuds,gW0gp9,Kaihatsushitsu (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1670,ardinokingds,6wO62C,Ancient Ruler Dinosaur King (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1671,redbaronww1,aMETX7,Red Baron WWI,6500,0,0,\\country\\fraglimit\\gamemode\\gametype\\gamevariant\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password\\teamplay\\timelimit,\\0\\0\\0\\0\\0\\0\\0\\0\\1\\1\\0\\0\\0
1672,greconawf2b,qvOwuX,Ghost Recon: Advanced Warfighter 2 Beta,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1673,greconawf2bam,qvOwuX,Ghost Recon: Advanced Warfighter 2 Beta Automatch,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1674,ubisoftdev,K4wfax,Ubisoft Development,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1675,ubisoftdevam,K4wfax,Ubisoft Development Automatch,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1676,testdriveuak,k7r85E,Test Drive Unlimited (Akella),6500,0,0,\\Id\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\0\\1\\1\\0
1677,armaas,fgDmOT,ArmA: Armed Assault,6500,128,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1678,gta4ps3,t3nTru,Grand Theft Auto 4 (PS3),6500,0,0,,
1679,gta4ps3am,,Grand Theft Auto 4  Automatch (PS3),6500,0,0,,
1680,gta4pc,t3nTru,Grand Theft Auto 4 (PC),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1681,gta4pcam,,Grand Theft Auto 4  Automatch (PC),6500,0,0,,
1682,flashanzands,61pARy,Flash Anzan Doujou (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1683,gta4x,t3nTru,Grand Theft Auto 4 (Xbox 360),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1684,gta4xam,,Grand Theft Auto 4  Automatch (Xbox 360),6500,0,0,,
1685,pokerangerds,v4yMCT,Pokemon Ranger 2 (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1686,megamansfeuds,8wlN9C,Mega Man Star Force (EU) (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1687,mariokartwii,9r3Rmy,Mario Kart Wii (Wii),6500,0,0,,
1688,swtakoronwii,xvf3KV,Shall we Takoron (Wii),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1689,phylon,rbKTOq,Phylon,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1690,wsc2007pc,L6cr8f,World Snooker Championship 2007 (PC),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1691,warfronttp,LTOTAa,War Front: Turning Point,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1692,fearxp2,rDAg9r,FEAR Perseus Mandate (PC),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1693,risingeaglepc,9cy8vc,Rising Eagle,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1694,bombls2ds,8BuVqr,Touch! Bomberman Land 2 / Bomberman DS 2 (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1695,momoden16wii,TuDtif,Momotaro Dentetsu 16 - Hokkaido Daiido no Maki! (Wii),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1696,sonriders2wii,m2F95I,Sonic Riders 2 (Wii),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1697,sonicrushads,so70kL,Sonic Rush Adventure (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1698,ghostsquadwii,lq8to9,Ghost Squad (Wii),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1699,runefantasyds,58Ae2N,Rune Factory: A Fantasy Harvest Moon (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1700,contrads,bw215o,Contra DS (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1701,bleach1USds,d4wISd,Bleach DS (US) (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1702,bleach2USds,7xEJsp,Bleach DS 2 (US) (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1703,civ4bts,Cs2iIq,Civilization IV: Beyond the Sword,6500,0,0,,
1704,civ4btsam,Cs2iIq,Civilization IV: Beyond the Sword Automatch,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxnumplayers\\maxplayers\\mynumplayers\\newgame\\nummissing\\numplayers\\passwd\\password\\pitboss\\staging,\\0\\0\\0\\0\\0\\0\\1\\1\\1\\1\\1\\1\\1\\1\\1\\1
1705,eearth3bam,Fk6hTz,Empire Earth III Beta Automatch,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1706,eearth3dam,,Empire Earth III  Demo Automatch,6500,0,0,,
1707,thetsuriwii,LhtR3d,The Tsuri (Wii),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1708,theracewii,6JbTWP,The Race (Wii),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1709,tankbeat2ds,aAbi3S,Tank Beat 2 (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1710,onslaughtpc,8pLvHm,Onslaught: War of the Immortals,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1711,onslaughtpcam,8pLvHm,Onslaught: War of the Immortals Automatch,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1712,onslaughtpcd,8pLvHm,Onslaught: War of the Immortals Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1713,jikkyoprowii,TKmp3m,Jikkyo Powerful Pro Yakyu Wii (Wii),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1714,cc3dev,Ba77xN,Command & Conquer 3 Dev Environment,6500,0,0,\\cCRC\\gamemode\\hostname\\iCRC\\mID\\mapname\\maxRPlyr\\maxplayers\\mod\\modv\\name\\numObs\\numRPlyr\\numplayers\\obs\\pings\\pw\\rules\\vCRC,\\0\\0\\0\\0\\0\\0\\1\\1\\0\\0\\0\\1\\1\\1\\1\\0\\1\\0\\0
1715,cc3devam,Ba77xN,Command & Conquer 3 Dev Environment Automatch,6500,0,0,\\cCRC\\gamemode\\hostname\\iCRC\\mID\\mapname\\maxRPlyr\\maxplayers\\mod\\modv\\name\\numObs\\numRPlyr\\numplayers\\obs\\pings\\pw\\rules\\vCRC,\\0\\0\\0\\0\\0\\0\\1\\1\\0\\0\\0\\1\\1\\1\\1\\0\\1\\0\\0
1716,wsc2007,xKCMfK,World Snooker Championship 2007,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1717,luminarcUSds,aI8FCJ,Luminous Arc (US) (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1718,bleach1EUds,9AxT0s,Bleach DS (EU) (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
1719,MSolympicds,kK9ibq,Mario & Sonic at the Olympic Games (DS),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
